48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
Twisted Lies,Ana Huang,Length: 16 hrs and 23 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
Fae and Fare,pirateaba,Length: 61 hrs and 4 mins
The Duke and I,Julia Quinn,Length: 12 hrs and 9 mins
You Never Know,"Tom Selleck,Ellis Henican",Length: 12 hrs and 47 mins
Death's End,"Cixin Liu,Ken Liu - translator",Length: 28 hrs and 51 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
The Witch of Webs,pirateaba,Length: 45 hrs and 53 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
Camino Ghosts,John Grisham,Length: 10 hrs and 17 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
Twisted Love,Ana Huang,Length: 10 hrs and 41 mins
Entrances and Exits,"Michael Richards,Jerry Seinfeld - foreword",Length: 15 hrs and 14 mins
Flurry,Alison Rhymes,Length: 7 hrs and 31 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
The Jester of Apocalypse: Invincibility,Robert Blaise,Length: 15 hrs and 32 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
The Teacher,Freida McFadden,Length: 9 hrs and 35 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Rival Hero,Jackie Walker,Length: 19 hrs and 7 mins
The Explorers,Amanda Bellows,Length: 9 hrs and 41 mins
The Mark Twain Complete Collection,Mark Twain,Length: 175 hrs
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
DIY Hydroponics in an Urban Small Space: Beginners’ Guide to Affordable and Easy-to-Follow Hydroponic Gardening,Kei Suzuki,Length: 3 hrs and 37 mins
All That Matters,Felice Stevens,Length: 8 hrs and 52 mins
The Wise Man's Fear,Patrick Rothfuss,Length: 42 hrs and 55 mins
Carl's Doomsday Scenario,Matt Dinniman,Length: 11 hrs and 28 mins
Clete,James Lee Burke,Length: 9 hrs and 20 mins
The Path of Ascension: Books 1-3.5,C. Mantis,Length: 70 hrs and 2 mins
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Length: 25 hrs and 18 mins
Sick Boys,Clarissa Wild,Length: 17 hrs and 9 mins
New Nigeria County,Clare Brown,Length: 3 hrs and 33 mins
Soaring in Flames,M. Sinclair,Length: 8 hrs and 28 mins
For the Fans,Nyla K,Length: 22 hrs and 39 mins
Voracious,James T. Callum,Length: 16 hrs and 34 mins
The City and Its Uncertain Walls,"Haruki Murakami,Philip Gabriel - translator",Length: 15 hrs
Hell Difficulty Tutorial,Cerim,Length: 18 hrs and 34 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Funny Story,Emily Henry,Length: 11 hrs and 23 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
Bespelled,Laura Thalassa,Length: 14 hrs and 24 mins
Divine Core,Kevin Sinclair,Length: 15 hrs and 35 mins
Romancing Mister Bridgerton,Julia Quinn,Length: 13 hrs and 17 mins
Así veo las cosas,Jorge Ramos,Length: 10 hrs and 47 mins
The Nature of Disappearing,Kimi Cunningham Grant,Length: 9 hrs and 41 mins
The Theology of the Book of Revelation,Richard Bauckham,Length: 5 hrs and 40 mins
Jackie,Dawn Tripp,Length: 14 hrs and 28 mins
Enchanting Exposition,Alice Winters,Length: 8 hrs and 43 mins
The Path of Ascension 6,C. Mantis,Length: 23 hrs and 25 mins
Taming the CEO,Layla Hagen,Length: 8 hrs and 13 mins
We Used to Live Here,Marcus Kliewer,Length: 9 hrs and 52 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins
Hell Divers IV: Wolves,Nicholas Sansbury Smith,Length: 9 hrs and 25 mins
The Dark Forest,"Cixin Liu,Joel Martinsen - translator",Length: 22 hrs and 36 mins
101 Essays That Will Change the Way You Think,Brianna Wiest,Length: 10 hrs and 45 mins
Little Rot,Akwaeke Emezi,Length: 9 hrs and 9 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
When We Lied,Claire Contreras,Length: 13 hrs and 47 mins
Fantastic Fungi,Paul Stamets,Length: 5 hrs and 20 mins
The Count of Monte Cristo,Alexandre Dumas,Length: 52 hrs and 41 mins
The Gentle Art of Cracking Heads,John Scalzi,Length: 38 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
When He Was Wicked,Julia Quinn,Length: 11 hrs and 29 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
Ambassador for Mars,Glynn Stewart,Length: 10 hrs and 33 mins
Angels Before Man,Rafael Nicolás,Length: 15 hrs and 9 mins
Cherish,Tracy Wolff,Length: 17 hrs and 25 mins
Blackheart,Joshua Dalzelle,Length: 8 hrs and 15 mins
"Unintended Cultivator, Volume 2",Eric Dontigney,Length: 12 hrs and 42 mins
The Billionaire's Mistake,Silvia Violet,Length: 6 hrs and 10 mins
"Days of Want Series, Books 1-7",T. L. Payne,Length: 43 hrs and 42 mins
Gai-Jin,James Clavell,Length: 50 hrs and 17 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
Your Next Five Moves,Patrick Bet-David,Length: 8 hrs and 6 mins
Part of Your World,Abby Jimenez,Length: 10 hrs and 5 mins
A Mind of Your Own,"Kelly Brogan M.D.,Kristin Loberg",Length: 10 hrs and 20 mins
